app_name,repo,electron_version,date_accessed,access_type,vulnerable_cve_2023_4863,vulnerable_cve_2023_5217
Dopamine,https://github.com/digimezzo/dopamine,^21.0.0,2023-10-02 22:10:41-0700,programmatic,vulnerable,vulnerable
Drawtify Designer,,,,programmatic,unknown,unknown
DropPoint,https://github.com/GameGodS3/DropPoint,^21.3.1,2023-10-02 22:10:43-0700,programmatic,vulnerable,vulnerable
DupFinder,,,,programmatic,unknown,unknown
Dusk Player,https://github.com/Aveek-Saha/MusicPlayer,^7.3.3,2023-10-02 22:10:44-0700,programmatic,vulnerable,vulnerable
Dynobase,,,,programmatic,unknown,unknown
Eagle,,,,programmatic,unknown,unknown
eagluet,,,,programmatic,unknown,unknown
EBTCalc,https://github.com/EricTerrell/EBTCalc,^26.1.0,2023-10-02 22:10:45-0700,programmatic,vulnerable,vulnerable
echo,https://github.com/afractal/echo-app,,2023-10-02 22:10:46-0700,programmatic,unknown,unknown
elcalc,,,,programmatic,unknown,unknown
Electorrent,,,,programmatic,unknown,unknown
Electro,,,,programmatic,unknown,unknown
ElectroCRUD,https://github.com/garrylachman/ElectroCRUD,^22.0.0,2023-10-02 22:10:47-0700,programmatic,vulnerable,vulnerable
Electron App Store (Unofficial),https://github.com/Electron-Store/electron-app-store,^15.3.0,2023-10-02 22:10:48-0700,programmatic,vulnerable,vulnerable
Electron-clippy,,,,programmatic,unknown,unknown
Elements,,,,programmatic,unknown,unknown
Elephicon,,,,programmatic,unknown,unknown
email-securely-app,,,,programmatic,unknown,unknown
Enclica Messenger,,,,programmatic,unknown,unknown
encrypt0r,https://github.com/kunalnagar/encrypt0r,18.3.15,2023-10-02 22:10:50-0700,programmatic,vulnerable,vulnerable
EnderFramework,,,,programmatic,unknown,unknown
Erin,https://github.com/losbiw/erin,^20.1.0,2023-10-02 22:10:51-0700,programmatic,vulnerable,vulnerable
eSearch,https://github.com/xushengfeng/eSearch,^22.3.6,2023-10-02 22:10:52-0700,programmatic,vulnerable,vulnerable
ETCD Manager,https://github.com/icellmobilsoft/etcdmanager.git,^6,2023-10-02 22:10:54-0700,programmatic,vulnerable,vulnerable
Etcher,https://github.com/resin-io/etcher,^19.1.9,2023-10-02 22:10:56-0700,programmatic,vulnerable,vulnerable
EVE Trade,,,,programmatic,unknown,unknown
Everdo,,,,programmatic,unknown,unknown
Excel Parser Processor,,,,programmatic,unknown,unknown
ExifCleaner,https://github.com/szTheory/exifcleaner,^11.0,2023-10-02 22:10:57-0700,programmatic,vulnerable,vulnerable
ExpanDrive,,22.3.1,,programmatic,vulnerable,unknown
Explorer,,,,programmatic,unknown,unknown
ExpressLRS Configurator,,,,programmatic,unknown,unknown
F-Curator,https://github.com/xizon/F-Curator/,^16.0.6,2023-10-02 22:10:59-0700,programmatic,vulnerable,vulnerable
FAIRshare,https://github.com/fairdataihub/FAIRshare,25.8.1,2023-10-02 22:11:00-0700,programmatic,patched,vulnerable
fangyuanjian,,,,programmatic,unknown,unknown
FATpick,,,,programmatic,unknown,unknown
Fenêtre,,,,programmatic,unknown,unknown
Ferdi,https://github.com/getferdi/ferdi,,,programmatic,unknown,unknown
Fifo,https://github.com/snaildos/Fifo-Browser,21.4.4,2023-10-02 22:11:01-0700,programmatic,vulnerable,vulnerable
Figma,,,,programmatic,unknown,unknown
FileCtor,https://github.com/tomaschyly/FileCtor,^9.2.0,2023-10-02 22:11:03-0700,programmatic,vulnerable,vulnerable
Fileside,,,,programmatic,unknown,unknown
Final-Countdown,,,,programmatic,unknown,unknown
Find Better Questions,,,,programmatic,unknown,unknown
Fireman,,,,programmatic,unknown,unknown
Fishing Funds,https://github.com/1zilc/fishing-funds,^26.0.0,2023-10-02 22:11:04-0700,programmatic,vulnerable,vulnerable
Flawesome,,,,programmatic,unknown,unknown
FLB Music,https://github.com/Patrick-web/FLB-Music-Player-Official,13.2.2,2023-10-02 22:11:05-0700,programmatic,vulnerable,vulnerable
FleetDeck,,,,programmatic,unknown,unknown
FlexPaper,,,,programmatic,unknown,unknown
Flow,,,,programmatic,unknown,unknown
Fluent Reader,https://github.com/yang991178/fluent-reader,^21.0.1,2023-10-02 22:11:06-0700,programmatic,vulnerable,vulnerable
Focused Task,,,,programmatic,unknown,unknown
Fog,,,,programmatic,unknown,unknown
FontBase,,,,programmatic,unknown,unknown
Forestpin Analytics,,,,programmatic,unknown,unknown
Forget Me Not,,,,programmatic,unknown,unknown
FotoJet,,,,programmatic,unknown,unknown
Frame,https://github.com/floating/frame.git,23.1.3,2023-10-02 22:11:08-0700,programmatic,vulnerable,vulnerable
Franz,,,,programmatic,unknown,unknown
Free Chess Club,https://github.com/freechessclub/freechessclub-app,^24.1.3,2023-10-02 22:11:09-0700,programmatic,vulnerable,vulnerable
Freeter,,,,programmatic,unknown,unknown
Friends,,,,programmatic,unknown,unknown
Front,,,,programmatic,unknown,unknown
Fudget,,,,programmatic,unknown,unknown
Galeri,,,,programmatic,unknown,unknown
Gaucho,https://github.com/angrykoala/gaucho,~13.1.9,2023-10-02 22:11:10-0700,programmatic,vulnerable,vulnerable
GaussSense Desktop,,,,programmatic,unknown,unknown
GDevelop,https://github.com/4ian/GDevelop,18.2.2,,programmatic,vulnerable,unknown
Geeks Diary,,,,programmatic,unknown,unknown
Geniemoji,https://github.com/virejdasani/Geniemoji,^12.0.4,,programmatic,vulnerable,unknown
Getränkeliste App,,,,programmatic,unknown,unknown
Gibu,,,,programmatic,unknown,unknown
Git-it,,,,programmatic,unknown,unknown
GitBook,,,,programmatic,unknown,unknown
GitHoard,,,,programmatic,unknown,unknown
GitHub Desktop,https://github.com/desktop/desktop,26.2.1,2023-10-02 22:11:22-0700,programmatic,patched,vulnerable
Gitify,https://github.com/manosim/gitify,^13.1.7,2023-10-02 22:11:23-0700,programmatic,vulnerable,vulnerable
GitKraken,,22.3.24,,programmatic,patched,unknown
Gitscout,,,,programmatic,unknown,unknown
Gluppi,,,,programmatic,unknown,unknown
Glyphr Studio,,,,programmatic,unknown,unknown
Gordie,,,,programmatic,unknown,unknown
GrabCAD Print,,,,programmatic,unknown,unknown
GramTools,,,,programmatic,unknown,unknown
GraphiQL,,,,programmatic,unknown,unknown
GraphQL Playground,,,,programmatic,unknown,unknown
graSSHopper,,,,programmatic,unknown,unknown
Gravit Designer,,,,programmatic,unknown,unknown
Graviton Editor,https://github.com/Graviton-Code-Editor/Graviton-App,,2023-10-02 22:11:24-0700,programmatic,unknown,unknown
gSubs,https://github.com/sanjevirau/gsubs/,~9.1.0,2023-10-02 22:11:25-0700,programmatic,vulnerable,vulnerable
HashTag,,,,programmatic,unknown,unknown
HBBatchBeast,,,,programmatic,unknown,unknown
heads-tails,https://github.com/SmartHoldemDAPPs/heads-tails,,,programmatic,unknown,unknown
Headset,,,,programmatic,unknown,unknown
healthi,https://github.com/pablopunk/healthi-app,^15.5.5,2023-10-02 22:11:28-0700,programmatic,vulnerable,vulnerable
Hearo,,,,programmatic,unknown,unknown
Helios Launcher,,,,programmatic,unknown,unknown
Heroic,,,,programmatic,unknown,unknown
HexoClient,https://github.com/gaoyoubo/hexo-client,^7.2.4,2023-10-02 22:11:29-0700,programmatic,vulnerable,vulnerable
Hive,,,,programmatic,unknown,unknown
homura,,,,programmatic,unknown,unknown
Horen,,,,programmatic,unknown,unknown
Hoster,,,,programmatic,unknown,unknown
Hozz,,,,programmatic,unknown,unknown
HTTP Toolkit,https://github.com/httptoolkit,,,programmatic,unknown,unknown
HTTPS Checker,,,,programmatic,unknown,unknown
Hyper,https://github.com/vercel/hyper,22.3.24,2023-10-02 22:11:32-0700,programmatic,patched,vulnerable
Hyperspace,,,,programmatic,unknown,unknown
i18n Manager,,,,programmatic,unknown,unknown
i5sing,,,,programmatic,unknown,unknown
Iconset,,,,programmatic,unknown,unknown
Illyriad,,,,programmatic,unknown,unknown
Image Optimizer,,,,programmatic,unknown,unknown
ImageShrinker,https://github.com/stefansl/image-shrinker,^11.2.1,2023-10-02 22:11:33-0700,programmatic,vulnerable,vulnerable
Imagine,,,,programmatic,unknown,unknown
Inboxer,https://github.com/denysdovhan/inboxer,^3.0,2023-10-02 22:11:34-0700,programmatic,vulnerable,vulnerable
INDE Writer,,,,programmatic,unknown,unknown
InfiniTex,,,,programmatic,unknown,unknown
Infiniti Clips,https://github.com/azure06/infiniti-clips.git,^21.2.0,2023-10-02 22:11:36-0700,programmatic,vulnerable,vulnerable
Infinity,,,,programmatic,unknown,unknown
Inkdrop,,,,programmatic,unknown,unknown
Insomnia,https://github.com/getinsomnia/insomnia,,2023-10-02 22:11:37-0700,programmatic,unknown,unknown
Instatron,,,,programmatic,unknown,unknown
Interactive Data Editor,,,,programmatic,unknown,unknown
Intu-Mind,,,,programmatic,unknown,unknown
Invizi,https://github.com/invizi/invizi/,^8.3.0,2023-10-02 22:11:38-0700,programmatic,vulnerable,vulnerable
ioui,,,,programmatic,unknown,unknown
Iperius Console,,,,programmatic,unknown,unknown
IPTVnator,,,,programmatic,unknown,unknown
Istrolid,,,,programmatic,unknown,unknown
itch,https://github.com/itchio/itch,^22.3.14,2023-10-02 22:11:40-0700,programmatic,vulnerable,vulnerable
Jabra Direct,,"16,2,2",,programmatic,vulnerable,unknown
jamovi,https://github.com/jamovi/jamovi,,,programmatic,unknown,unknown
JANDI,,,,programmatic,unknown,unknown
Janpankana,,,,programmatic,unknown,unknown
Janus Workspace,,,,programmatic,unknown,unknown
Jasper,https://github.com/jasperapp/jasper,18.0.4,2023-10-02 22:11:42-0700,programmatic,vulnerable,vulnerable
Joplin,https://github.com/laurent22/joplin,,2023-10-02 22:11:44-0700,programmatic,unknown,unknown
jqi,,,,programmatic,unknown,unknown
Juggernaut,https://github.com/LN-Juggernaut/juggernaut-desktop,8.2.0,2023-10-02 22:11:45-0700,programmatic,vulnerable,vulnerable
Jukeboks,,,,programmatic,unknown,unknown
JumpFm,https://github.com/Gilad-Kutiel-App/jumpfm,,2023-10-02 22:11:46-0700,programmatic,unknown,unknown
Kahla,https://github.com/AiursoftWeb/Kahla.App,^8.3.0,2023-10-02 22:11:47-0700,programmatic,vulnerable,vulnerable
kalk,,,,programmatic,unknown,unknown
KanKan,,,,programmatic,unknown,unknown
Kap,https://github.com/wulkano/kap,13.6.9,2023-10-02 22:11:49-0700,programmatic,vulnerable,vulnerable
Kaplan Desktop,https://github.com/kaplanPRO/kaplan-desktop,,,programmatic,unknown,unknown
kappo,,,,programmatic,unknown,unknown
Karaoke Mugen,https://gitlab.com/karaokemugen/karaokemugen-app,,,programmatic,unknown,unknown
Katana,,,,programmatic,unknown,unknown
Kattana,,,,programmatic,unknown,unknown
Keeper Password Manager & Digital Vault,,,,programmatic,unknown,unknown
KeeWeb,https://github.com/keeweb/keeweb,^12.0.7,2023-10-02 22:11:53-0700,programmatic,vulnerable,vulnerable
